,Title,Year,Rating,Branch
0,Snow White and the Seven Dwarfs,1937,G,Standard
1,Pinocchio,1940,G,Standard
2,Fantasia,1940,G,Standard
3,The Reluctant Dragon,1941,NaN,Standard
4,Dumbo,1941,G,Standard
5,Bambi,1942,G,Standard
6,Saludos Amigos,1943,NaN,Standard
7,Victory Through Air Power,1943,NaN,Standard
8,The Three Caballeros,1945,G,Standard
9,Make Mine Music,1946,NaN,Standard
10,Song of the South,1946,G,Standard
11,Fun and Fancy Free,1947,NaN,Standard
12,Melody Time,1948,NaN,Standard
13,So Dear to My Heart,1949,G,Standard
14,The Adventures of Ichabod and Mr. Toad,1949,G,Standard
15,Cinderella,1950,G,Standard
16,Treasure Island,1950,PG,Standard
17,Alice in Wonderland,1951,G,Standard
18,The Story of Robin Hood and His Merrie Men,1952,PG,Standard
19,Peter Pan,1953,G,Standard
20,The Sword and the Rose,1953,PG,Standard
21,The Living Desert,1953,NaN,Standard
22,"Rob Roy, the Highland Rogue",1954,NaN,Standard
23,The Vanishing Prairie,1954,NaN,Standard
24,"20,000 Leagues Under the Sea",1954,G,Standard
25,"Davy Crockett, King of the Wild Frontier",1955,PG,Standard
26,Lady and the Tramp,1955,G,Standard
27,The African Lion,1955,NaN,Standard
28,The Littlest Outlaw,1955,NaN,Standard
29,The Great Locomotive Chase,1956,NaN,Standard
30,Davy Crockett and the River Pirates,1956,NaN,Standard
31,Secrets of Life,1956,NaN,Standard
32,Westward Ho the Wagons!,1956,NaN,Standard
33,Johnny Tremain,1957,NaN,Standard
34,Perri,1957,G,Standard
35,Old Yeller,1957,G,Standard
36,The Light in the Forest,1958,NaN,Standard
37,White Wilderness,1958,NaN,Standard
38,Tonka,1958,NaN,Standard
39,Sleeping Beauty,1959,G,Standard
40,The Shaggy Dog,1959,G,Standard
41,Darby O’Gill and the Little People,1959,G,Standard
42,Third Man on the Mountain,1959,G,Standard
43,"Toby Tyler, or Ten Weeks with a Circus",1960,G,Standard
44,Kidnapped,1960,NaN,Standard
45,Pollyanna,1960,G,Standard
46,The Sign of Zorro,1960,NaN,Standard
47,Jungle Cat,1960,NaN,Standard
48,Ten Who Dared,1960,NaN,Standard
49,Swiss Family Robinson,1960,G,Standard
50,One Hundred and One Dalmatians,1961,G,Standard
51,The Absent-Minded Professor,1961,G,Standard
52,The Parent Trap,1961,NaN,Standard
53,"Nikki, Wild Dog of the North",1961,G,Standard
54,Greyfriars Bobby,1961,NaN,Standard
55,Babes in Toyland,1961,NaN,Standard
56,Moon Pilot,1962,NaN,Standard
57,Bon Voyage,1962,NaN,Standard
58,Big Red,1962,NaN,Standard
59,Almost Angels,1962,NaN,Standard
60,The Legend of Lobo,1962,G,Standard
61,In Search of the Castaways,1962,G,Standard
62,Son of Flubber,1963,G,Standard
63,Miracle of the White Stallions,1963,NaN,Standard
64,Savage Sam,1963,NaN,Standard
65,Summer Magic,1963,NaN,Standard
66,The Incredible Journey,1963,G,Standard
67,The Sword in the Stone,1963,G,Standard
68,The Three Lives of Thomasina,1963,PG,Standard
69,The Misadventures of Merlin Jones,1964,G,Standard
70,A Tiger Walks,1964,NaN,Standard
71,The Moon-Spinners,1964,PG,Standard
72,Mary Poppins,1964,G,Standard
73,Emil and the Detectives,1964,NaN,Standard
74,Those Calloways,1965,PG,Standard
75,The Monkey’s Uncle,1965,NaN,Standard
76,That Darn Cat!,1965,G,Standard
77,The Ugly Dachshund,1966,NaN,Standard
78,Lt. Robin Crusoe U.S.N.(G),1966,NaN,Standard
79,The Fighting Prince of Donegal,1966,NaN,Standard
80,"Follow Me, Boys!",1966,G,Standard
81,"Monkeys, Go Home!",1967,NaN,Standard
82,The Adventures of Bullwhip Griffin,1967,NaN,Standard
83,The Happiest Millionaire,1967,G,Standard
84,The Gnome-Mobile,1967,G,Standard
85,The Jungle Book,1967,G,Standard
86,"Charlie, The Lonesome Cougar",1967,NaN,Standard
87,Blackbeard’s Ghost,1968,G,Standard
88,"The One and Only, Genuine, Original Family Band",1968,NaN,Standard
89,Never a Dull Moment,1968,G,Standard
90,The Horse in the Gray Flannel Suit,1968,NaN,Standard
91,The Love Bug,1969,G,Standard
92,Smith!,1969,NaN,Standard
93,Rascal,1969,NaN,Standard
94,The Computer Wore Tennis Shoes,1969,NaN,Standard
95,King of the Grizzlies,1970,G,Standard
96,The Boatniks,1970,G,Standard
97,The Aristocats,1970,G,Standard
98,The Wild Country,1971,G,Standard
99,The Barefoot Executive,1971,G,Standard
100,Scandalous John,1971,G,Standard
101,"The $1,000,000 Duck",1971,G,Standard
102,Bedknobs and Broomsticks,1971,G,Standard
103,The Biscuit Eater,1972,G,Standard
104,Napoleon and Samantha,1972,G,Standard
105,"Now You See Him, Now You Don’t",1972,G,Standard
106,"Run, Cougar, Run",1972,G,Standard
107,Snowball Express,1972,G,Standard
108,The World’s Greatest Athlete,1973,G,Standard
109,Charley and the Angel,1973,G,Standard
110,One Little Indian,1973,G,Standard
111,Robin Hood,1973,G,Standard
112,Superdad,1973,G,Standard
113,Herbie Rides Again,1974,G,Standard
114,The Bears and I,1974,G,Standard
115,The Castaway Cowboy,1974,G,Standard
116,The Island at the Top of the World,1974,G,Standard
117,The Strongest Man in the World,1975,G,Standard
118,Escape to Witch Mountain,1975,G,Standard
119,The Apple Dumpling Gang,1975,G,Standard
120,One of Our Dinosaurs is Missing,1975,G,Standard
121,The Best of Walt Disney’s True-Life Adventures,1975,G,Standard
122,Ride a Wild Pony,1976,G,Standard
123,"No Deposit, No Return",1976,G,Standard
124,Gus,1976,G,Standard
125,Treasure of Matecumbe,1976,G,Standard
126,The Shaggy D.A.,1976,G,Standard
127,Freaky Friday,1977,G,Standard
128,The Littlest Horse Thieves,1977,G,Standard
129,The Many Adventures of Winnie the Pooh,1977,G,Standard
130,The Rescuers,1977,G,Standard
131,Herbie Goes to Monte Carlo,1977,G,Standard
132,Pete’s Dragon,1977,G,Standard
133,Candleshoe,1978,G,Standard
134,Return from Witch Mountain,1978,G,Standard
135,The Cat from Outer Space,1978,G,Standard
136,Hot Lead and Cold Feet,1978,G,Standard
137,The North Avenue Irregulars,1979,G,Standard
138,The Apple Dumpling Gang Rides Again,1979,G,Standard
139,Unidentified Flying Oddball,1979,G,Standard
140,The Black Hole,1979,PG,Standard
141,Midnight Madness,1980,PG,Standard
142,The Last Flight of Noah’s Ark,1980,G,Standard
143,Herbie Goes Bananas,1980,G,Standard
144,The Devil and Max Devlin,1981,PG,Standard
145,Amy,1981,G,Standard
146,The Fox and the Hound,1981,G,Standard
147,Condorman,1981,PG,Standard
148,The Watcher in the Woods,1981,PG,Standard
149,Night Crossing,1982,PG,Standard
150,Tron,1982,PG,Standard
151,Tex,1982,PG,Standard
152,Trenchcoat,1983,PG,Standard
153,Something Wicked This Way Comes,1983,PG,Standard
154,Never Cry Wolf,1983,PG,Standard
155,Splash,1984,PG,Touchstone
156,Tiger Town,1984,G,Standard
157,Country,1984,PG,Touchstone
158,Baby...Secret of the Lost Legend,1985,PG,Touchstone
159,Return to Oz,1985,PG,Standard
160,The Black Cauldron,1985,PG,Standard
161,My Science Project,1985,PG,Touchstone
162,The Journey of Natty Gann,1985,PG,Standard
163,One Magic Christmas,1985,G,Standard
164,Down and Out in Beverly Hills,1986,R,Touchstone
165,Off Beat,1986,R,Touchstone
166,Ruthless People,1986,R,Touchstone
167,The Great Mouse Detective,1986,G,Standard
168,Flight of the Navigator,1986,PG,Standard
169,Tough Guys,1986,PG,Touchstone
170,The Color of Money,1986,R,Touchstone
171,Outrageous Fortune,1987,R,Touchstone
172,Tin Men,1987,R,Touchstone
173,Ernest Goes to Camp,1987,PG,Touchstone
174,Benji the Hunted,1987,G,Standard
175,Adventures in Babysitting,1987,PG-13,Touchstone
176,Stakeout,1987,R,Touchstone
177,Can’t Buy Me Love,1987,PG-13,Touchstone
178,Hello Again,1987,PG,Touchstone
179,Three Men and a Baby,1987,PG,Touchstone
180,"Good Morning, Vietnam",1987,R,Touchstone
181,Shoot to Kill,1988,R,Touchstone
182,D.O.A.,1988,R,Touchstone
183,Return to Snowy River,1988,PG,Standard
184,Big Business,1988,PG,Touchstone
185,Who Framed Roger Rabbit,1988,PG,Touchstone
186,Cocktail,1988,R,Touchstone
187,The Rescue,1988,PG,Touchstone
188,Heartbreak Hotel,1988,PG-13,Touchstone
189,The Good Mother,1988,R,Touchstone
190,Ernest Saves Christmas,1988,PG,Touchstone
191,Oliver & Company,1988,G,Standard
192,Beaches,1988,PG-13,Touchstone
193,Three Fugitives,1989,PG-13,Touchstone
194,New York Stories,1989,PG,Touchstone
195,Disorganized Crime,1989,R,Touchstone
196,Dead Poets Society,1989,PG,Touchstone
197,"Honey, I Shrunk the Kids",1989,PG,Standard
198,Turner & Hooch,1989,PG,Touchstone
199,Cheetah,1989,G,Standard
200,An Innocent Man,1989,R,Touchstone
201,Gross Anatomy,1989,PG-13,Touchstone
202,The Little Mermaid,1989,G,Standard
203,Blaze,1989,R,Touchstone
204,Stella,1990,PG-13,Touchstone
205,Where the Heart Is,1990,R,Touchstone
206,Pretty Woman,1990,R,Touchstone
207,Ernest Goes to Jail,1990,PG,Touchstone
208,Spaced Invaders,1990,PG,Touchstone
209,Fire Birds,1990,PG-13,Touchstone
210,Dick Tracy,1990,PG,Touchstone
211,Betsy’s Wedding,1990,R,Touchstone
212,Arachnophobia,1990,PG-13,Hollywood Pictures
213,"Ducktales: the Movie, Treasure of the Lost Lamp",1990,G,Disney Movietoons
214,Taking Care of Business,1990,R,Hollywood Pictures
215,Mr. Destiny,1990,PG-13,Touchstone
216,The Rescuers Down Under,1990,G,Standard
217,Three Men and a Little Lady,1990,PG,Touchstone
218,Green Card,1990,PG-13,Touchstone
219,White Fang,1991,PG,Standard
220,Run,1991,R,Hollywood Pictures
221,Scenes from a Mall,1991,R,Touchstone
222,Shipwrecked,1991,PG,Standard
223,The Marrying Man,1991,R,Hollywood Pictures
224,Oscar,1991,PG,Touchstone
225,One Good Cop,1991,R,Hollywood Pictures
226,What About Bob?,1991,PG,Touchstone
227,Wild Hearts Can’t Be Broken,1991,G,Standard
228,The Rocketeer,1991,PG,Standard
229,The Doctor,1991,PG-13,Touchstone
230,V. I. Warshawski,1991,R,Hollywood Pictures
231,True Identity,1991,R,Touchstone
232,Paradise,1991,PG-13,Touchstone
233,Deceived,1991,PG-13,Touchstone
234,Ernest Scared Stupid,1991,PG,Touchstone
235,Billy Bathgate,1991,R,Touchstone
236,Beauty and the Beast,1991,G,Standard
237,Father of the Bride,1991,PG,Touchstone
238,The Hand That Rocks the Cradle,1992,R,Hollywood Pictures
239,Medicine Man,1992,PG-13,Hollywood Pictures
240,Blame It On The Bellboy,1992,PG-13,Hollywood Pictures
241,Noises Off,1992,PG-13,Touchstone
242,Straight Talk,1992,PG,Hollywood Pictures
243,Newsies,1992,PG,Standard
244,Passed Away,1992,PG-13,Hollywood Pictures
245,Encino Man,1992,PG,Hollywood Pictures
246,Sister Act,1992,PG,Touchstone
247,"Honey, I Blew Up the Kid",1992,PG,Standard
248,A Stranger Among Us,1992,PG-13,Hollywood Pictures
249,3 Ninjas,1992,PG,Touchstone
250,The Gun in Betty Lou’s Handbag,1992,PG-13,Touchstone
251,Crossing the Bridge,1992,R,Touchstone
252,Sarafina!,1992,PG-13,Hollywood Pictures
253,Captain Ron,1992,PG-13,Touchstone
254,The Mighty Ducks,1992,PG,Standard
255,Consenting Adults,1992,R,Hollywood Pictures
256,Aladdin,1992,G,Standard
257,The Distinguished Gentleman,1992,R,Hollywood Pictures
258,The Muppet Christmas Carol,1992,G,Standard
259,Alive,1993,R,Touchstone
260,Aspen Extreme,1993,PG-13,Hollywood Pictures
