i,Title,Year,Rating,Branch,Original?
0,Snow White and the Seven Dwarfs,1937,G,Standard,A
1,Pinocchio,1940,G,Standard,A
2,Fantasia,1940,G,Standard,A
3,The Reluctant Dragon,1941,NaN,Standard,O
4,Dumbo,1941,G,Standard,A
5,Bambi,1942,G,Standard,A
6,Saludos Amigos,1943,NaN,Standard,O
7,Victory Through Air Power,1943,NaN,Standard,A
8,The Three Caballeros,1945,G,Standard,O
9,Make Mine Music,1946,NaN,Standard,N
10,Song of the South,1946,G,Standard,A
11,Fun and Fancy Free,1947,NaN,Standard,A
12,Melody Time,1948,NaN,Standard,N
13,So Dear to My Heart,1949,G,Standard,A
14,The Adventures of Ichabod and Mr. Toad,1949,G,Standard,A
15,Cinderella,1950,G,Standard,A
16,Treasure Island,1950,PG,Standard,A
17,Alice in Wonderland,1951,G,Standard,A
18,The Story of Robin Hood and His Merrie Men,1952,PG,Standard,A
19,Peter Pan,1953,G,Standard,A
20,The Sword and the Rose,1953,PG,Standard,A
21,The Living Desert,1953,NaN,Standard,N
22,"Rob Roy, the Highland Rogue",1954,NaN,Standard,A*
23,The Vanishing Prairie,1954,NaN,Standard,N
24,"20,000 Leagues Under the Sea",1954,G,Standard,A
25,"Davy Crockett, King of the Wild Frontier",1955,PG,Standard,A
26,Lady and the Tramp,1955,G,Standard,A
27,The African Lion,1955,NaN,Standard,N
28,The Littlest Outlaw,1955,NaN,Standard,O
29,The Great Locomotive Chase,1956,NaN,Standard,A*
30,Davy Crockett and the River Pirates,1956,NaN,Standard,AS
31,Secrets of Life,1956,NaN,Standard,N
32,Westward Ho the Wagons!,1956,NaN,Standard,A
33,Johnny Tremain,1957,NaN,Standard,A
34,Perri,1957,G,Standard,A
35,Old Yeller,1957,G,Standard,A
36,The Light in the Forest,1958,NaN,Standard,A
37,White Wilderness,1958,NaN,Standard,N
38,Tonka,1958,NaN,Standard,A
39,Sleeping Beauty,1959,G,Standard,A
40,The Shaggy Dog,1959,G,Standard,A
