,Rank,Release,Domestic Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor,Year,id,budget,Worldwide Gross,Release_Date,Profit
0,1,Barbie,636238421.0,4337.0,162022044.0,0.255,4243.0,Jul 21,-,Warner Bros.,2023,346698.0,145000000.0,1445638421.0,2023-07-21,1300638421.0
1,2,The Super Mario Bros. Movie,574934330.0,4371.0,146361865.0,0.255,4343.0,Apr 5,Sep 7,Universal Pictures,2023,502356.0,100000000.0,1362000000.0,2023-04-05,1262000000.0
2,3,Spider-Man: Across the Spider-Verse,381311319.0,4332.0,120663589.0,0.316,4313.0,Jun 2,Sep 14,Columbia Pictures,2023,569094.0,100000000.0,690615475.0,2023-06-02,590615475.0
3,4,Guardians of the Galaxy Vol. 3,358995815.0,4450.0,118414021.0,0.33,4450.0,May 5,-,Walt Disney Studios Motion Pictures,2023,447365.0,250000000.0,845600000.0,2023-05-05,595600000.0
4,5,Oppenheimer,329862540.0,3761.0,82455420.0,0.25,3610.0,Jul 21,-,Universal Pictures,2023,872585.0,100000000.0,952000000.0,2023-07-21,852000000.0
5,6,The Little Mermaid,298172056.0,4320.0,95578040.0,0.321,4320.0,May 26,Sep 14,Walt Disney Studios Motion Pictures,2023,447277.0,297000000.0,569600000.0,2023-05-26,272600000.0
6,7,Wonka,218402312.0,4213.0,39005800.0,0.179,4203.0,Dec 15,-,Warner Bros.,2023,787699.0,125000000.0,632302312.0,2023-12-15,507302312.0
7,8,Ant-Man and the Wasp: Quantumania,214504909.0,4345.0,106109650.0,0.495,4345.0,Feb 17,Jun 15,Walt Disney Studios Motion Pictures,2023,640146.0,200000000.0,476071180.0,2023-02-17,276071180.0
8,9,John Wick: Chapter 4,187131806.0,3855.0,73817950.0,0.39399999999999996,3855.0,Mar 24,Jun 15,Lionsgate Films,2023,603692.0,90000000.0,440157245.0,2023-03-24,350157245.0
9,10,Sound of Freedom,184178046.0,3411.0,19680879.0,0.107,2852.0,Jul 4,-,Angel Studios,2023,678512.0,14500000.0,250600000.0,2023-07-04,236100000.0
10,11,Taylor Swift: The Eras Tour,180756269.0,3855.0,93224755.0,0.516,3855.0,Oct 13,-,-,2023,1160164.0,15000000.0,261656269.0,2023-10-13,246656269.0
11,12,Indiana Jones and the Dial of Destiny,174480468.0,4600.0,60368101.0,0.34600000000000003,4600.0,Jun 30,Sep 14,Walt Disney Studios Motion Pictures,2023,335977.0,294700000.0,383900000.0,2023-06-30,89200000.0
12,13,Mission: Impossible - Dead Reckoning Part One,172135383.0,4327.0,54688347.0,0.318,4327.0,Jul 12,Sep 21,Paramount Pictures,2023,575264.0,291000000.0,567500000.0,2023-07-12,276500000.0
13,14,The Hunger Games: The Ballad of Songbirds & Snakes,166350594.0,3776.0,44607143.0,0.268,3776.0,Nov 17,-,Lionsgate Films,2023,695721.0,100000000.0,337371917.0,2023-11-17,237371917.0
14,15,Transformers: Rise of the Beasts,157066392.0,3680.0,61045464.0,0.389,3678.0,Jun 9,-,Paramount Pictures,2023,667538.0,195000000.0,439000000.0,2023-06-09,244000000.0
15,16,Creed III,156248615.0,4007.0,58370007.0,0.374,4007.0,Mar 3,May 18,United Artists Releasing,2023,677179.0,75000000.0,275300000.0,2023-03-03,200300000.0
16,17,Elemental,154426697.0,4035.0,29602429.0,0.192,4035.0,Jun 16,Sep 28,Walt Disney Studios Motion Pictures,2023,976573.0,200000000.0,496000000.0,2023-06-16,296000000.0
17,18,Fast X,146126015.0,4088.0,67017410.0,0.45899999999999996,4046.0,May 19,-,Universal Pictures,2023,385687.0,340000000.0,704709660.0,2023-05-19,364709660.0
18,19,Five Nights at Freddy's,137275620.0,3789.0,80001720.0,0.583,3675.0,Oct 27,-,Universal Pictures International (UPI),2023,507089.0,20000000.0,294803785.0,2023-10-27,274803785.0
19,20,Migration,127306285.0,3839.0,12453275.0,0.098,3761.0,Dec 22,-,Universal Pictures,2023,940551.0,72000000.0,298106960.0,2023-12-22,226106960.0
20,21,Aquaman and the Lost Kingdom,124481226.0,3787.0,27686211.0,0.222,3706.0,Dec 22,-,Warner Bros.,2023,572802.0,205000000.0,434381226.0,2023-12-22,229381226.0
