ID,Item,Wiki_Link,Image_Link,Medium,Year,Original,Adaptation_Type,Based on Real Life?,BoxOff_Rank,Domestic_Gross,Worldwide_Gross,Production_Budget,Profit
ID-000,-,,,,,,,,,,,,
ID-001,Barbie,https://en.wikipedia.org/wiki/Barbie_(film),https://upload.wikimedia.org/wikipedia/en/0/0b/Barbie_2023_poster.jpg,Movie,2023,0,Adaptation,0,1,636225983.00,1445638421.00,145000000.00,1300638421.00
ID-002,Barbie Doll Line,https://en.wikipedia.org/wiki/Barbie,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Barbie_Logo.svg/1024px-Barbie_Logo.svg.png,Toy,1959,1,,0,1,,,,
ID-003,The Super Mario Bros. Movie,https://en.wikipedia.org/wiki/The_Super_Mario_Bros._Movie,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/The_Super_Mario_Bros._Movie_poster.jpg/220px-The_Super_Mario_Bros._Movie_poster.jpg,Movie,2023,0,Adaptation,0,2,574934330.00,1362000000.00,100000000.00,1262000000.00
ID-004,Super Mario Bros,https://en.wikipedia.org/wiki/Super_Mario_Bros.,https://upload.wikimedia.org/wikipedia/en/0/03/Super_Mario_Bros._box.png,Game,1985,0,,0,2,,,,
ID-005,Mario Bros,https://en.wikipedia.org/wiki/Mario_Bros.,,Game,1983,0,,0,2,,,,
ID-006,Donkey Kong,https://en.wikipedia.org/wiki/Donkey_Kong_(1981_video_game),,Game,1981,1,,0,2,,,,
ID-007,Spider-Man: Across the Spider-Verse,https://en.wikipedia.org/wiki/Spider-Man:_Across_the_Spider-Verse,,Movie,2023,0,Sequel,0,3,381311319.00,690615475.00,100000000.00,590615475.00
ID-008,Spider-Man: Into the Spider-Verse,https://en.wikipedia.org/wiki/Spider-Man:_Into_the_Spider-Verse,,Movie,2018,0,Adaptation,0,3,190241310.00,384298736.00,90000000.00,294298736.00
ID-009,Spider-Verse Series,https://en.wikipedia.org/wiki/Spider-Verse,,Comic,2014,0,,0,3,,,,
ID-010,Ultimate Comics: Spider-Man Series,https://en.wikipedia.org/wiki/Ultimate_Comics:_Spider-Man,,Comic,2011,0,,0,3,,,,
ID-011,Ultimate Spider-Man Series,https://en.wikipedia.org/wiki/Ultimate_Spider-Man,,Comic,2000,0,,0,3,,,,
ID-012,The Amazing Spider-Man Series,https://en.wikipedia.org/wiki/The_Amazing_Spider-Man,,Comic,1963,1,,0,3,,,,
ID-013,Guardians of the Galaxy Vol 3,https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_Vol._3,,Movie,2023,0,Sequel,0,4,358995815.00,845600000.00,250000000.00,595600000.00
ID-014,Guardians of the Galaxy Vol 2,https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_Vol._2,,Movie,2017,0,Sequel,0,4,389813101.00,863756051.00,200000000.00,663756051.00
