Item,Source,Connection,Adaptation Type
Barbie,Barbie Doll Line,Direct Source,Adaptation
The Super Mario Bros. Movie,Super Mario Bros (1985),Direct Source,Adaptation
Super Mario Bros (1985),Mario Bros (1983),Series Source,
Mario Bros (1983),Donkey Kong (1981),Sequel,
Spider-Man: Across the Spider-Verse,Spider-Man: Into the Spider-Verse,Sequel,
Spider-Man: Into the Spider-Verse,Spiderverse Film Series,Series,Adaptation
Spiderverse Film Series,Spider-Verse Series,Series Source,Adaptation
Spider-Verse Series,The Amazing Spider-Man Series,Series Source,
Spider-Man: Across the Spider-Verse,Ultimate Comics: Spider-Man Series,Series Source,Adaptation
Ultimate Comics: Spider-Man Series,Ultimate Spider-Man Series,Sequel Arc,
Ultimate Spider-Man Series,The Amazing Spider-Man Series,Direct Source,Remake*
Guardians of the Galaxy Vol 3,Guardians of the Galaxy Vol 2,Sequel,
Guardians of the Galaxy Vol 2,Guardians of the Galaxy (2014),Sequel,
Guardians of the Galaxy (2014),Guardians of the Galaxy Film Series,Series,
Guardians of the Galaxy Film Series,Guardians of the Galaxy (2008) Series,Series Source,Adaptation
Guardians of the Galaxy (2008) Series,Guardians of the Galaxy (1990) Series,Sequel Arc,
Guardians of the Galaxy (2008) Series,Annihalation Conquest (2007) Series,Sequel Arc,
Guardians of the Galaxy (1990) Series,Varied MCU Crossover Shenanigans,,
Annihalation Conquest (2007) Series,Annihalation (2006) Series ,Sequel Arc,
Annihalation (2006) Series ,Varied MCU Crossover Shenanigans,,
Guardians of the Galaxy Film Series,Marvel Cinematic Universe,CU,
Oppenheimer,Based on the life of J. Robert Oppenheimer,,
The Little Mermaid,The Little Mermaid (1989),Direct Source,Reimagining
The Little Mermaid (1989),The Little Mermaid Fairytale,Direct Source,Adaptation
Avatar: The Way of Water,Avatar (2009),Sequel,
Ant-Man and the Wasp: Quantumania,Ant-Man and the Wasp (2018),Sequel,
Ant-Man and the Wasp (2018),Ant-Man (2015),Sequel,
Ant-Man (2015),Ant-Man Film Series,Series,
Ant-Man Film Series,Marvel Premiere #47 (1979),Series Origin,Adaptation
Ant-Man Film Series,Marvel Cinematic Universe,CU,
John Wick: Chapter 4,John-Wick: Chapter 3,Sequel,
John-Wick: Chapter 3,John-Wick: Chapter 2,Sequel,
John-Wick: Chapter 2,John Wick,Sequel,
Sound of Freedom,Based on the life of Tim Ballard,,
Indiana Jones and the Dial of Destiny,Indiana Jones and the Kingdom of the Crystal Skull,Sequel,
Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Last Crusade,Sequel,
Indiana Jones and the Last Crusade,Indiana Jones and the Temple of Doom,Sequel,
Indiana Jones and the Temple of Doom,Raiders of the Lost Ark,Sequel,
Raiders of the Lost Ark,Indiana Jones Film Series,,
Mission: Impossible Dead Reckoning,Mission: Impossible - Fallout,Sequel,
Mission: Impossible – Fallout,Mission: Impossible - Rogue Nation,Sequel,
Mission: Impossible - Rogue Nation,Mission: Impossible - Ghost Protocol,Sequel,
Mission: Impossible - Ghost Protocol,Mission: Impossible III,Sequel,
Mission: Impossible III,Mission: Impossible 2,Sequel,
Mission: Impossible 2,Mission: Impossible,Sequel,
Mission: Impossible,Mission: Impossible Film Series,Series,
Mission: Impossible Film Series,Mission: Impossible (1988) TV Series,Series Source,Adaptation
Mission: Impossible (1988) TV Series,Mission: Impossible (1966) TV Series,Sequel Arc,Adaptation
The Hunger Games: The Ballad of Songbirds and Snakes,The Ballad of Songbirds and Snakes Novel,Direct Source,Adaptation
The Hunger Games: The Ballad of Songbirds and Snakes,The Hunger Games: Mockingjay Part 2,Prequel,
