Item,CCO Wikipedia link,CCO image link,CCO — Type,CCO — Start Date,CCO — End Date,Original?,Adaptation Type,Based on Real Life?
Barbie,https://en.wikipedia.org/wiki/Barbie_(film) ,https://upload.wikimedia.org/wikipedia/en/0/0b/Barbie_2023_poster.jpg,Movie,2023,,0,Adaptation,0
Barbie Doll Line,https://en.wikipedia.org/wiki/Barbie,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Barbie_Logo.svg/1024px-Barbie_Logo.svg.png,Toy Line,1959,,1,,0
The Super Mario Bros. Movie,https://en.wikipedia.org/wiki/The_Super_Mario_Bros._Movie,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/The_Super_Mario_Bros._Movie_poster.jpg/220px-The_Super_Mario_Bros._Movie_poster.jpg,Movie,2023,,0,Adaptation,0
Super Mario Bros (1985),https://en.wikipedia.org/wiki/Super_Mario_Bros.,https://upload.wikimedia.org/wikipedia/en/0/03/Super_Mario_Bros._box.png,Video Game,1985,,0,,0
Mario Bros (1983),https://en.wikipedia.org/wiki/Mario_Bros.,,Video Game,1983,,0,,0
Donkey Kong (1981),https://en.wikipedia.org/wiki/Donkey_Kong_(1981_video_game),,Video Game,1981,,1,,0
Spider-Man: Across the Spider-Verse,https://en.wikipedia.org/wiki/Spider-Man:_Across_the_Spider-Verse,,Movie,2023,,0,Sequel,0
Spider-Man: Into the Spider-Verse,https://en.wikipedia.org/wiki/Spider-Man:_Into_the_Spider-Verse,,Movie,2018,,0,Adaptation,0
Spider-Verse Series,https://en.wikipedia.org/wiki/Spider-Verse,,Comic,2014,,0,,0
Ultimate Comics: Spider-Man Series,https://en.wikipedia.org/wiki/Ultimate_Comics:_Spider-Man,,Comic,2011,,0,,0
Ultimate Spider-Man Series,https://en.wikipedia.org/wiki/Ultimate_Spider-Man,,Comic,2000,,0,,0
The Amazing Spider-Man Series,https://en.wikipedia.org/wiki/The_Amazing_Spider-Man,,Comic,1963,,1,,0
Guardians of the Galaxy Vol 3,https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_Vol._3,,Movie,2023,,0,Sequel,0
Guardians of the Galaxy Vol 2,https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_Vol._2,,Movie,2017,,0,Sequel,0
Guardians of the Galaxy (2014),https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_(film),,Movie,2014,,0,Adaptation,0
Guardians of the Galaxy (2008) Series,https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_(2008_team),,Comic,2008,,0,,0
Guardians of the Galaxy (1990) Series,https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_(1969_team),,Comic,1990,,1,,0
Annihilation Conquest (2007) Series,https://en.wikipedia.org/wiki/Annihilation:_Conquest,,Comic,2007,,0,,0
Annihilation (2006) Series ,https://en.wikipedia.org/wiki/Annihilation_(comics),,Comic,2006,,0,,0
Marvel Cinematic Universe,https://en.wikipedia.org/wiki/Marvel_Cinematic_Universe,,CU,,,0,,0
Oppenheimer,https://en.wikipedia.org/wiki/Oppenheimer_(film),,Movie,2023,,0,,1
Based on the life of J. Robert Oppenheimer,https://en.wikipedia.org/wiki/J._Robert_Oppenheimer,,Life,1904,,1,,1
The Little Mermaid,https://en.wikipedia.org/wiki/The_Little_Mermaid_(2023_film),,Movie,2023,,0,Reimagining,0
The Little Mermaid (1989),https://en.wikipedia.org/wiki/The_Little_Mermaid_(1989_film),,Movie,1989,,0,Adaptation,0
The Little Mermaid Fairytale,https://en.wikipedia.org/wiki/The_Little_Mermaid,,Fairytale,1837,,1,,0
Avatar: The Way of Water,https://en.wikipedia.org/wiki/Avatar:_The_Way_of_Water,,Movie,2022,,0,Sequel,0
Avatar (2009),https://en.wikipedia.org/wiki/Avatar_(2009_film),,Movie,2009,,1,,0
Ant-Man and the Wasp: Quantumania,https://en.wikipedia.org/wiki/Ant-Man_and_the_Wasp:_Quantumania,,Movie,2023,,0,Sequel,0
Ant-Man and the Wasp (2018),https://en.wikipedia.org/wiki/Ant-Man_and_the_Wasp,,Movie,2018,,0,Sequel,0
Ant-Man (2015),https://en.wikipedia.org/wiki/Ant-Man_(film),,Movie,2015,,0,Adaptation,0
Marvel Premiere #47 (1979),https://en.wikipedia.org/wiki/Marvel_Premiere,,Comic,1979,,1,,0
John Wick: Chapter 4,https://en.wikipedia.org/wiki/John_Wick:_Chapter_4,,Movie,2023,,0,Sequel,0
John-Wick: Chapter 3,https://en.wikipedia.org/wiki/John_Wick:_Chapter_3_%E2%80%93_Parabellum,,Movie,2019,,0,Sequel,0
